epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,147.073,0.53331,1.0816,0.97178,0.65995,0.32942,0.31853,0.25021,0.69706,3.29217,0.94089,0.000172502,0.000172502,0.000172502
42,150.282,0.46206,0.82229,0.85642,0.65995,0.32942,0.31853,0.25021,0.69706,3.29217,0.94089,0.000173917,0.000173917,0.000173917
43,153.219,0.69439,1.46179,1.04596,0.39171,0.3,0.34514,0.26746,0.70914,2.75677,0.95384,0.00017519,0.00017519,0.00017519
44,156.144,0.63726,0.99461,0.96322,0.39171,0.3,0.34514,0.26746,0.70914,2.75677,0.95384,0.000176322,0.000176322,0.000176322
45,159.085,0.51103,1.01195,0.95507,0.63763,0.3,0.28381,0.21767,0.72853,2.84386,0.99627,0.000177312,0.000177312,0.000177312
46,161.532,0.76682,1.15003,1.18095,0.63763,0.3,0.28381,0.21767,0.72853,2.84386,0.99627,0.000178161,0.000178161,0.000178161
47,164.708,0.5116,0.95208,0.92379,0.46515,0.2745,0.32275,0.25099,0.76058,2.78311,1.04483,0.000178868,0.000178868,0.000178868
48,167.692,0.61823,0.73548,0.94474,0.46515,0.2745,0.32275,0.25099,0.76058,2.78311,1.04483,0.000179435,0.000179435,0.000179435
49,170.869,0.51679,0.9323,0.95252,0.57762,0.3,0.29236,0.22871,0.679,2.52989,1.01529,0.000179859,0.000179859,0.000179859
50,173.81,0.49041,0.71654,0.88583,0.57762,0.3,0.29236,0.22871,0.679,2.52989,1.01529,0.000180143,0.000180143,0.000180143
51,177.35,0.67877,1.08396,1.08455,0.59132,0.39574,0.34157,0.26117,0.64362,2.57918,1.02774,0.000180285,0.000180285,0.000180285
52,180.309,0.51868,0.81472,0.9142,0.59132,0.39574,0.34157,0.26117,0.64362,2.57918,1.02774,0.000180286,0.000180286,0.000180286
53,183.473,0.62733,0.99259,1.0144,0.59132,0.39574,0.34157,0.26117,0.64362,2.57918,1.02774,0.000180145,0.000180145,0.000180145
54,186.752,0.59653,0.89039,1.00149,0.33443,0.33333,0.2478,0.20094,0.64859,2.70227,1.04989,0.000179863,0.000179863,0.000179863
55,189.985,0.5692,0.91314,1.05799,0.33443,0.33333,0.2478,0.20094,0.64859,2.70227,1.04989,0.00017944,0.00017944,0.00017944
56,193.164,0.53326,0.77262,0.97475,0.33443,0.33333,0.2478,0.20094,0.64859,2.70227,1.04989,0.000178875,0.000178875,0.000178875
57,196.378,0.43612,0.70833,0.92183,0.79856,0.33333,0.29442,0.24628,0.61813,2.67493,1.05688,0.000178169,0.000178169,0.000178169
58,199.341,0.49331,0.70271,0.92454,0.79856,0.33333,0.29442,0.24628,0.61813,2.67493,1.05688,0.000177321,0.000177321,0.000177321
59,202.575,0.58108,0.89346,0.93904,0.79856,0.33333,0.29442,0.24628,0.61813,2.67493,1.05688,0.000176332,0.000176332,0.000176332
60,205.757,0.53656,0.9128,0.95183,0.55399,0.33333,0.24307,0.19079,0.60176,2.755,1.06062,0.000175202,0.000175202,0.000175202
61,208.735,0.68546,0.92637,1.07799,0.55399,0.33333,0.24307,0.19079,0.60176,2.755,1.06062,0.00017393,0.00017393,0.00017393
62,212.113,0.50347,0.63637,0.91742,0.55399,0.33333,0.24307,0.19079,0.60176,2.755,1.06062,0.000172517,0.000172517,0.000172517
63,215.328,0.43964,0.75567,0.86529,0.5533,0.4,0.23371,0.1734,0.62056,2.90319,1.05373,0.000170963,0.000170963,0.000170963
64,218.58,0.6773,1.08094,1.02159,0.5533,0.4,0.23371,0.1734,0.62056,2.90319,1.05373,0.000169267,0.000169267,0.000169267
65,221.722,0.53896,0.95567,0.96821,0.5533,0.4,0.23371,0.1734,0.62056,2.90319,1.05373,0.00016743,0.00016743,0.00016743
66,225.069,0.49784,0.71815,0.96034,0.81847,0.23333,0.22235,0.16045,0.61017,2.95694,1.03049,0.000165452,0.000165452,0.000165452
67,227.953,0.52795,0.85001,0.98212,0.81847,0.23333,0.22235,0.16045,0.61017,2.95694,1.03049,0.000163332,0.000163332,0.000163332
68,231.092,0.41616,0.78476,0.90325,0.81847,0.23333,0.22235,0.16045,0.61017,2.95694,1.03049,0.000161071,0.000161071,0.000161071
69,234.219,0.49281,0.70399,0.92467,0.83795,0.36042,0.28625,0.20875,0.61245,2.90888,1.02324,0.000158668,0.000158668,0.000158668
70,237.396,0.54818,0.84795,0.93842,0.83795,0.36042,0.28625,0.20875,0.61245,2.90888,1.02324,0.000156124,0.000156124,0.000156124
71,241.038,0.45566,0.51344,0.85042,0.83795,0.36042,0.28625,0.20875,0.61245,2.90888,1.02324,0.000153439,0.000153439,0.000153439
72,244.379,0.41517,0.57582,0.92094,0.85293,0.32786,0.2769,0.23532,0.62531,2.87271,1.06036,0.000150612,0.000150612,0.000150612
73,247.604,0.53716,0.69629,0.93075,0.85293,0.32786,0.2769,0.23532,0.62531,2.87271,1.06036,0.000147644,0.000147644,0.000147644
74,250.964,0.49441,0.66479,0.93362,0.85293,0.32786,0.2769,0.23532,0.62531,2.87271,1.06036,0.000144534,0.000144534,0.000144534
