epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13748,1.36216,4.70238,2.4402,0.0266,0.56952,0.11455,0.06335,1.33916,3.70671,2.67279,1.48e-05,1.48e-05,1.48e-05
2,4.51372,1.2769,4.67916,2.37086,0.02418,0.68952,0.10564,0.06273,1.21586,3.52632,2.56372,3.26407e-05,3.26407e-05,3.26407e-05
3,6.15387,0.98937,4.39514,2.00022,0.63613,0.12476,0.13942,0.09102,1.08843,3.28708,2.53908,4.97487e-05,4.97487e-05,4.97487e-05
4,7.98386,0.96052,4.32569,2.02247,0.67883,0.1578,0.1986,0.12965,1.0274,3.15263,2.49126,6.61242e-05,6.61242e-05,6.61242e-05
5,9.88759,0.84741,4.2162,1.79589,0.69004,0.24184,0.23853,0.15757,0.97123,3.04644,2.39887,8.1767e-05,8.1767e-05,8.1767e-05
6,11.7682,0.80389,4.08515,1.74115,0.67585,0.35157,0.23697,0.16362,0.928,2.97338,2.33373,9.66773e-05,9.66773e-05,9.66773e-05
7,13.6347,0.80995,3.9208,1.79299,0.66202,0.36095,0.24332,0.17854,0.87475,2.89742,2.27481,0.000110855,0.000110855,0.000110855
8,15.6602,0.77804,3.89363,1.76819,0.65696,0.37143,0.24779,0.19148,0.82247,2.82359,2.20532,0.0001243,0.0001243,0.0001243
9,17.6183,0.78866,3.85124,1.77491,0.64987,0.40124,0.26427,0.21184,0.75792,2.71422,2.0815,0.000137012,0.000137012,0.000137012
10,19.4401,0.73913,3.65664,1.63288,0.57028,0.435,0.27048,0.22413,0.71946,2.66321,2.01561,0.000148992,0.000148992,0.000148992
11,21.246,0.73547,3.60998,1.68427,0.52113,0.47324,0.29399,0.25079,0.66567,2.61042,1.94604,0.00016024,0.00016024,0.00016024
12,23.2158,0.69665,3.47238,1.64502,0.52073,0.47905,0.3164,0.27044,0.63537,2.52562,1.9083,0.000170754,0.000170754,0.000170754
13,25.0046,0.71882,3.32315,1.61858,0.50445,0.51601,0.31019,0.26273,0.63474,2.47001,1.89521,0.000180536,0.000180536,0.000180536
14,26.6357,0.72473,3.16467,1.67584,0.48076,0.47596,0.29665,0.25549,0.62564,2.37278,1.8851,0.000189586,0.000189586,0.000189586
15,28.2071,0.67936,3.13437,1.57356,0.49112,0.47256,0.29917,0.25783,0.61653,2.30826,1.85405,0.000197903,0.000197903,0.000197903
16,29.7712,0.69224,3.00719,1.56554,0.48561,0.46571,0.31406,0.26768,0.62559,2.30187,1.82653,0.000205487,0.000205487,0.000205487
