epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20583,1.31872,4.07641,2.65798,0.00817,0.77381,0.06109,0.032,1.01799,3.45072,2.26491,2.142e-05,2.142e-05,2.142e-05
2,8.50622,1.24067,4.20916,2.56173,0.01093,1,0.26361,0.20537,0.72188,3.31468,1.94155,4.89904e-05,4.89904e-05,4.89904e-05
3,12.3497,1.1132,3.83755,2.40272,0.59578,0.09524,0.27192,0.21209,0.72796,3.0948,2.04995,7.54298e-05,7.54298e-05,7.54298e-05
4,16.0407,0.85616,3.73844,2.11373,0.50484,0.25714,0.29741,0.23702,0.73426,3.03741,2.21909,0.000100738,0.000100738,0.000100738
5,19.9488,0.83229,3.53127,1.83482,0.51316,0.25714,0.29527,0.23495,0.70046,2.99321,2.19853,0.000124916,0.000124916,0.000124916
6,23.4632,0.72452,3.48277,1.90682,0.52086,0.36142,0.22185,0.19001,0.65793,2.99481,2.1668,0.000147962,0.000147962,0.000147962
7,26.9162,0.7112,3.21123,1.88574,0.52004,0.43284,0.24571,0.205,0.66049,3.14158,2.10047,0.000169878,0.000169878,0.000169878
8,30.325,0.84473,3.20487,1.97512,0.41442,0.54127,0.31078,0.26309,0.66514,3.07761,2.0618,0.000190662,0.000190662,0.000190662
9,34.0164,0.70624,2.93454,1.73022,0.426,0.61844,0.29008,0.23919,0.66617,3.07676,1.9912,0.000210316,0.000210316,0.000210316
10,37.4073,0.80969,2.89159,1.94849,0.41428,0.64286,0.30851,0.25906,0.68794,3.10531,1.86104,0.000228838,0.000228838,0.000228838
11,40.7754,0.88174,3.68761,2.05965,0.62133,0.37619,0.40118,0.34154,0.71538,3.00366,1.81299,0.00024623,0.00024623,0.00024623
12,44.7078,0.71463,3.4101,2.40867,0.60788,0.48333,0.37984,0.3059,0.71177,2.83499,1.80195,0.000262491,0.000262491,0.000262491
13,48.0926,0.88607,2.58654,1.9785,0.60902,0.42579,0.46538,0.38834,0.73215,2.53784,1.81812,0.00027762,0.00027762,0.00027762
14,51.7682,0.64324,2.54023,1.73335,0.57964,0.47318,0.48317,0.41809,0.66329,2.2537,1.85439,0.000291619,0.000291619,0.000291619
15,55.3265,0.71988,2.24772,1.72081,0.6327,0.40714,0.49284,0.42556,0.64786,1.8348,1.9174,0.000304487,0.000304487,0.000304487
16,58.883,0.71704,2.11366,1.64048,0.68249,0.37143,0.53804,0.46302,0.67855,1.70263,1.90335,0.000316223,0.000316223,0.000316223
17,62.3733,0.91123,2.32921,2.21215,0.65921,0.42857,0.65658,0.55654,0.68947,1.64016,1.8471,0.000326829,0.000326829,0.000326829
18,65.8611,0.8267,2.06658,1.73131,0.6154,0.42857,0.65962,0.56611,0.66814,1.5608,1.74581,0.000336304,0.000336304,0.000336304
19,69.3481,0.85191,2.03554,1.95414,0.62139,0.42857,0.67075,0.59117,0.62804,1.58808,1.69832,0.000344648,0.000344648,0.000344648
20,72.8781,0.8849,2.22075,1.7497,0.38713,0.72619,0.67456,0.59599,0.64237,1.48219,1.70352,0.000351861,0.000351861,0.000351861
21,76.4632,0.79097,2.00999,1.6613,0.36046,0.80952,0.63427,0.58094,0.55555,1.42823,1.81281,0.000357942,0.000357942,0.000357942
22,79.7272,0.83515,1.92974,1.69467,0.62906,0.53194,0.61668,0.56444,0.56393,1.38067,1.79286,0.000362893,0.000362893,0.000362893
23,82.9514,0.68542,1.87093,1.55777,0.62946,0.60873,0.64028,0.57582,0.56404,1.36335,1.84251,0.000366713,0.000366713,0.000366713
24,86.2127,0.75194,1.73505,1.79825,0.66402,0.59651,0.62882,0.55811,0.55064,1.32819,1.80665,0.000369402,0.000369402,0.000369402
25,89.4967,0.7735,1.93448,1.69908,0.29785,0.94425,0.60031,0.5266,0.58876,1.28873,1.7627,0.00037096,0.00037096,0.00037096
26,92.7859,0.64875,1.74702,1.58393,0.32061,0.96188,0.60345,0.51059,0.63453,1.26475,1.81725,0.00036057,0.00036057,0.00036057
