epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47163,1.26475,4.14774,2.4793,0.01981,0.675,0.06464,0.04936,0.77326,3.17845,2.08233,2.142e-05,2.142e-05,2.142e-05
2,7.63604,1.31838,4.31422,3.13999,0.03696,0.91667,0.0917,0.06869,0.63391,3.16982,1.88035,4.89904e-05,4.89904e-05,4.89904e-05
3,11.7325,0.91683,3.96163,1.97262,0.03693,1,0.40888,0.30996,0.52183,3.10104,1.89231,7.54298e-05,7.54298e-05,7.54298e-05
4,15.7061,0.84459,3.65638,2.02731,0.03455,1,0.49541,0.36619,0.51649,2.99967,1.93176,0.000100738,0.000100738,0.000100738
5,19.7453,0.84583,3.54228,1.93082,0.03468,1,0.4815,0.37061,0.48856,2.98618,1.86397,0.000124916,0.000124916,0.000124916
6,23.6668,0.70831,3.32663,1.76053,0.45578,0.75,0.42089,0.34181,0.49557,2.97037,1.77701,0.000147962,0.000147962,0.000147962
7,27.33,0.7221,3.21531,1.98225,0.54583,0.36228,0.40903,0.3362,0.50214,2.97571,1.82505,0.000169878,0.000169878,0.000169878
8,31.0942,0.70996,3.12166,1.6407,0.46965,0.46894,0.41779,0.34897,0.4877,3.0729,1.8996,0.000190662,0.000190662,0.000190662
9,34.6398,0.80041,2.98797,1.86186,0.47624,0.69167,0.40533,0.33769,0.51393,3.18498,2.04481,0.000210316,0.000210316,0.000210316
10,38.1546,0.67486,2.88319,1.64167,0.4656,0.75,0.39258,0.32249,0.53532,3.21957,2.14264,0.000228838,0.000228838,0.000228838
11,41.6629,0.7485,2.72988,1.8593,0.43065,0.8,0.37207,0.30885,0.53067,2.92062,2.18018,0.00024623,0.00024623,0.00024623
12,45.2107,0.68478,2.61037,1.72913,0.46492,0.84949,0.37623,0.31408,0.53121,2.39654,2.18937,0.000262491,0.000262491,0.000262491
13,48.6942,0.72402,2.40323,2.16702,0.36213,0.79982,0.39104,0.33652,0.54285,2.05594,2.16794,0.00027762,0.00027762,0.00027762
14,52.1933,0.8706,2.62016,2.50672,0.47268,0.82575,0.38851,0.33353,0.5346,1.95762,2.01037,0.000291619,0.000291619,0.000291619
15,55.6437,0.7992,2.44669,1.81814,0.37035,0.75833,0.40925,0.35219,0.52478,1.83786,1.77532,0.000304487,0.000304487,0.000304487
16,59.035,0.74841,2.39987,1.61993,0.35799,0.73333,0.42595,0.35214,0.50122,1.84099,1.71766,0.000316223,0.000316223,0.000316223
17,62.4719,0.81794,2.19071,2.02059,0.2847,0.76292,0.41486,0.33852,0.49276,1.87679,1.70692,0.000326829,0.000326829,0.000326829
18,65.8903,0.92315,2.38221,2.2142,0.29604,0.68333,0.44324,0.39288,0.50887,2.07866,1.89691,0.000336304,0.000336304,0.000336304
19,69.5624,0.8343,2.14122,1.82779,0.27697,0.725,0.45318,0.38229,0.51676,2.2267,1.87735,0.000344648,0.000344648,0.000344648
20,72.9412,0.67244,1.93184,1.7941,0.29187,0.75,0.46522,0.40133,0.51011,2.23278,1.87187,0.000351861,0.000351861,0.000351861
21,76.5303,0.64123,1.97847,1.63385,0.42566,0.76119,0.51518,0.43936,0.58066,2.19796,1.86741,0.000357942,0.000357942,0.000357942
22,79.9969,0.67836,1.95886,1.62365,0.47861,0.66589,0.53037,0.45614,0.56209,2.16523,1.79217,0.000362893,0.000362893,0.000362893
23,83.4827,0.66972,1.91372,1.511,0.46151,0.61205,0.53214,0.45592,0.56462,2.16868,1.78329,0.000366713,0.000366713,0.000366713
24,86.8375,0.71269,1.89452,1.84906,0.38165,0.73333,0.54102,0.47336,0.51891,2.1742,1.71594,0.000369402,0.000369402,0.000369402
25,90.3549,0.77153,1.86066,1.66326,0.33349,0.78136,0.55315,0.48311,0.50528,2.26156,1.73163,0.00037096,0.00037096,0.00037096
26,93.9258,0.8021,1.87171,1.80137,0.48451,0.59741,0.55845,0.48456,0.5202,2.31667,1.75592,0.00036057,0.00036057,0.00036057
27,97.5429,0.66995,1.82352,1.51017,0.52053,0.58283,0.56541,0.49017,0.55031,2.40558,1.72203,0.000346433,0.000346433,0.000346433
28,101.068,0.75281,1.81606,1.55829,0.52831,0.48647,0.57896,0.49853,0.56957,2.41868,1.73842,0.000332296,0.000332296,0.000332296
29,104.561,0.63201,1.60506,1.56917,0.5126,0.49116,0.57872,0.50424,0.56005,2.43541,1.761,0.000318158,0.000318158,0.000318158
30,108.012,0.68238,1.55584,1.65869,0.46634,0.49685,0.56925,0.50389,0.57689,2.38554,1.82429,0.000304021,0.000304021,0.000304021
31,111.268,0.62485,1.51287,1.59635,0.42402,0.45181,0.55314,0.48495,0.55641,2.32706,1.73137,0.000289884,0.000289884,0.000289884
32,114.504,0.71757,1.5096,1.59962,0.43108,0.48333,0.53802,0.47877,0.54165,2.30406,1.66191,0.000275747,0.000275747,0.000275747
33,117.966,0.74758,1.53113,1.92637,0.51551,0.56667,0.63942,0.5439,0.52133,2.33245,1.59027,0.00026161,0.00026161,0.00026161
34,121.433,0.67224,1.51183,1.50145,0.55714,0.56667,0.64677,0.55043,0.5225,2.32217,1.55662,0.000247472,0.000247472,0.000247472
35,125.127,0.66595,1.39912,1.90398,0.82406,0.56216,0.66836,0.5932,0.51328,2.29562,1.53698,0.000233335,0.000233335,0.000233335
36,128.778,0.61232,1.39793,1.69485,0.88477,0.55868,0.6724,0.60121,0.51343,2.26984,1.6221,0.000219198,0.000219198,0.000219198
37,132.246,0.66992,1.30204,1.70788,0.64588,0.6212,0.68415,0.62069,0.49784,2.25026,1.85678,0.000205061,0.000205061,0.000205061
38,135.667,0.62987,1.42541,1.49209,0.62587,0.61667,0.68066,0.60909,0.48644,2.26883,1.8471,0.000190924,0.000190924,0.000190924
39,138.892,0.6469,1.41291,1.45552,0.66785,0.60826,0.68618,0.60903,0.48573,2.28659,1.75864,0.000176786,0.000176786,0.000176786
40,142.086,0.6251,1.23954,1.43212,0.66009,0.61639,0.70462,0.62553,0.48733,2.28271,1.61216,0.000162649,0.000162649,0.000162649
41,165.883,0.49342,1.14963,1.45056,0.70283,0.65661,0.72247,0.64368,0.47776,2.27454,1.5123,0.000148512,0.000148512,0.000148512
42,169.364,0.46881,1.24935,1.36469,0.69695,0.67368,0.7283,0.65373,0.4668,2.23397,1.49064,0.000134375,0.000134375,0.000134375
43,172.826,0.48374,1.23181,1.40213,0.70284,0.63333,0.75895,0.68942,0.47184,2.21183,1.5071,0.000120238,0.000120238,0.000120238
44,176.605,0.49481,1.15162,1.39057,0.69804,0.63333,0.7796,0.70174,0.49172,2.19524,1.531,0.0001061,0.0001061,0.0001061
45,180.126,0.47317,1.19325,1.37709,0.72802,0.63333,0.77091,0.69492,0.50542,2.1852,1.55126,9.19632e-05,9.19632e-05,9.19632e-05
46,183.286,0.5035,1.16027,1.65682,0.85574,0.58333,0.73897,0.66477,0.50667,2.16795,1.57983,7.7826e-05,7.7826e-05,7.7826e-05
47,186.436,0.40443,1.17899,1.4948,0.91692,0.583,0.73229,0.66439,0.50461,2.16265,1.58669,6.36888e-05,6.36888e-05,6.36888e-05
48,189.62,0.45335,1.31541,1.37872,0.92034,0.5778,0.72262,0.65501,0.49851,2.16286,1.58051,4.95516e-05,4.95516e-05,4.95516e-05
49,192.829,0.41844,1.10867,1.444,0.91174,0.58333,0.72049,0.65607,0.49337,2.15535,1.56151,3.54144e-05,3.54144e-05,3.54144e-05
50,196.036,0.40182,1.03689,1.65686,0.90919,0.58333,0.72707,0.66004,0.48883,2.15309,1.54367,2.12772e-05,2.12772e-05,2.12772e-05
