epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8094,1.31872,4.07641,2.65798,0.0044,0.69706,0.02203,0.01496,0.56264,10.0396,1.50787,2.142e-05,2.142e-05,2.142e-05
2,25.3669,1.24067,4.20916,2.56173,0.00527,0.88434,0.04657,0.03402,0.41721,12.0977,1.31195,4.89904e-05,4.89904e-05,4.89904e-05
3,38.6277,1.1132,3.83755,2.40272,0.00534,0.88656,0.06516,0.05046,0.38517,17.9709,1.20015,7.54298e-05,7.54298e-05,7.54298e-05
4,51.0654,0.85616,3.73844,2.11373,0.53573,0.21761,0.073,0.05766,0.39327,37.9652,1.26321,0.000100738,0.000100738,0.000100738
5,63.5671,0.83229,3.53127,1.83482,0.53683,0.24159,0.07777,0.06232,0.38534,39.7204,1.26419,0.000124916,0.000124916,0.000124916
6,76.0337,0.72452,3.48277,1.90682,0.53646,0.34717,0.08172,0.06601,0.36349,56.8041,1.24765,0.000147962,0.000147962,0.000147962
7,88.7265,0.7112,3.21123,1.88574,0.44511,0.4222,0.0866,0.06876,0.36623,85.3374,1.24456,0.000169878,0.000169878,0.000169878
8,100.736,0.84473,3.20487,1.97512,0.45064,0.47559,0.0835,0.06724,0.37298,102.383,1.2098,0.000190662,0.000190662,0.000190662
9,112.509,0.70624,2.93454,1.73022,0.44977,0.52712,0.08624,0.07035,0.37501,133.923,1.18059,0.000210316,0.000210316,0.000210316
10,123.692,0.80969,2.89159,1.94849,0.34995,0.57969,0.09827,0.0808,0.38136,161.72,1.15743,0.000228838,0.000228838,0.000228838
11,134.807,0.88174,3.68761,2.05965,0.27323,0.64413,0.11008,0.09323,0.37857,181.138,1.19089,0.00024623,0.00024623,0.00024623
12,145.388,0.71463,3.4101,2.40867,0.27875,0.67636,0.12761,0.10918,0.35348,173.06,1.15737,0.000262491,0.000262491,0.000262491
13,155.926,0.88607,2.58654,1.9785,0.30628,0.61001,0.16359,0.14168,0.36041,133.073,1.11074,0.00027762,0.00027762,0.00027762
14,166.116,0.64324,2.54023,1.73335,0.31686,0.5163,0.19827,0.17611,0.34424,106.612,1.11581,0.000291619,0.000291619,0.000291619
15,175.458,0.71988,2.24772,1.72081,0.39272,0.35309,0.26063,0.22484,0.34333,81.8498,1.11314,0.000304487,0.000304487,0.000304487
16,184.154,0.71704,2.11366,1.64048,0.4319,0.32965,0.28473,0.24924,0.34578,74.2125,1.10758,0.000316223,0.000316223,0.000316223
17,192.673,0.91123,2.32921,2.21215,0.50731,0.33808,0.32258,0.28844,0.32905,70.596,1.08943,0.000326829,0.000326829,0.000326829
18,200.891,0.8267,2.06658,1.73131,0.47992,0.44764,0.38379,0.34346,0.3198,61.9195,1.1095,0.000336304,0.000336304,0.000336304
19,209.209,0.85191,2.03554,1.95414,0.44634,0.5231,0.40592,0.36458,0.30791,57.3567,1.07189,0.000344648,0.000344648,0.000344648
20,217.349,0.8849,2.22075,1.7497,0.47654,0.46245,0.41818,0.36795,0.32006,56.4372,1.02437,0.000351861,0.000351861,0.000351861
21,225.278,0.79097,2.00999,1.6613,0.54797,0.49083,0.42616,0.37495,0.32339,60.266,1.02567,0.000357942,0.000357942,0.000357942
22,233.11,0.83515,1.92974,1.69467,0.47174,0.59994,0.42965,0.37997,0.32436,63.5098,1.02799,0.000362893,0.000362893,0.000362893
23,240.914,0.68542,1.87093,1.55777,0.48009,0.61038,0.44392,0.39682,0.31716,68.8394,1.02264,0.000366713,0.000366713,0.000366713
24,248.619,0.75194,1.73505,1.79825,0.39556,0.68026,0.44935,0.40265,0.31627,74.1213,1.01338,0.000369402,0.000369402,0.000369402
25,256.105,0.7735,1.93448,1.69908,0.52986,0.57482,0.46579,0.41554,0.31857,73.4028,1.01608,0.00037096,0.00037096,0.00037096
26,263.928,0.64875,1.74702,1.58393,0.55492,0.57277,0.46913,0.40892,0.32858,76.7029,1.0298,0.00036057,0.00036057,0.00036057
27,271.172,0.83965,1.91677,1.90751,0.5756,0.60116,0.49835,0.43486,0.33209,81.0185,1.03244,0.000346433,0.000346433,0.000346433
28,278.954,0.78719,1.79032,1.83139,0.58028,0.64742,0.51948,0.45773,0.3306,85.5901,1.03985,0.000332296,0.000332296,0.000332296
29,286.954,0.69706,1.64456,1.74731,0.55001,0.70923,0.53467,0.47219,0.31903,88.0352,1.01602,0.000318158,0.000318158,0.000318158
